Prov,pop,Pobres,lat,lon,
Caba,3120612,903,-34.65316, -58.39852,
Buenos Aires,17569053,961,-36.88877, -60.68384,
Catamarca,429556,2,-27.24760, -67.10054,
Chaco,1142963,59,-26.24711, -60.45379,
Chubut,603120,44,-43.94412, -68.70128,
Cordoba,3978984,91,-31.4135, -64.18105,
Corrientes,1197553,38,-28.91850, -57.73871,
Entre Rios,1426426,139,-32.06319, -59.25269,
Formosa,606041,0,-24.81260, -59.87487,
Jujuy,797955,82,-22.87441, -66.28852,
La Pampa,366022,4,-37.70398, -65.44782,
La Rioja,384607,0,-29.41105, -66.85067,
Mendoza,2014533,21,-35.13422, -68.56542,
Misiones,1280960,26,-26.74192, -54.33354,
Neuquen,726590,7,-38.38715, -69.48078,
Rio Negro,762067,0,-40.58936, -67.28267,
Salta,1440672,244,-25.05894, -64.28693,
San Juan,818234,21,-31.03727, -68.90291,
San Luis,540905,4,-33.52654, -65.95812,
Santa Cruz,333473,0,-48.51498, -69.41124,
Santa Fe,3556522,209,-30.50084, -60.99384,
Santiago del Estero,1054028,50,-27.98240, -63.36832,
Tierra del Fuego, 190641,0,-54.40993, -67.37571,
Tucuman,1703186,57,-26.82414, -65.2226,

